"","logFC","logCPM","LR","PValue","FDR","transcript"
"hsa-miR-891a-5p",12.7288051709495,8.31626037798702,402.707430663566,1.41763993293322e-89,6.20926290624751e-87,"hsa-miR-891a-5p"
"hsa-miR-892a",8.15911458607637,2.12987334955885,72.2594982671911,1.8868035933008e-17,4.13209986932874e-15,"hsa-miR-892a"
"hsa-miR-375-3p",-1.33987577951877,9.72862705840011,19.4723600142028,1.02065966691912e-05,0.00149016311370191,"hsa-miR-375-3p"
"hsa-miR-153-3p",-1.96004852796324,3.62737176059725,18.6279614392732,1.58873191626914e-05,0.00173966144831471,"hsa-miR-153-3p"
"hsa-miR-3929",1.54818836508221,5.17665546677628,16.2552089840922,5.53571914761774e-05,0.00484928997331314,"hsa-miR-3929"
"hsa-miR-203a-3p",1.38692501255258,5.22464038287583,13.159815197518,0.000286017091582406,0.0208792476855156,"hsa-miR-203a-3p"
"hsa-miR-3675-5p",1.78474570634373,2.58645110059976,12.5324317193771,0.0003999489648868,0.0250253780886312,"hsa-miR-3675-5p"
"hsa-miR-3085-5p",2.08328143591245,1.6836432245176,11.7600372134345,0.000605160163517303,0.0312022690414696,"hsa-miR-3085-5p"
"hsa-miR-1246",-1.42476741464222,4.16566394321833,11.4900733248445,0.000699688764889842,0.0312022690414696,"hsa-miR-1246"
"hsa-miR-125b-2-3p",-1.17700626346115,7.12487063383617,11.4566643455257,0.000712380571723051,0.0312022690414696,"hsa-miR-125b-2-3p"
"hsa-miR-4286",-1.30911093738376,4.37670869509595,10.3515508116899,0.00129365957472137,0.0510200706271483,"hsa-miR-4286"
"hsa-miR-100-5p",-1.24638635445017,4.88621371753102,10.2086822524534,0.00139781015416845,0.0510200706271483,"hsa-miR-100-5p"
"hsa-miR-431-5p",-1.53545334881996,2.60945530117269,8.55369924531584,0.00344820799397329,0.116178084720023,"hsa-miR-431-5p"
"hsa-miR-10b-5p",0.866732374531704,18.952610894541,8.07008800620679,0.00450019311002241,0.140791755870701,"hsa-miR-10b-5p"
"hsa-miR-383-5p",-1.14190398966775,3.73495946710107,7.12251357427123,0.00761219085484622,0.22227597296151,"hsa-miR-383-5p"
"hsa-miR-582-3p",1.0596300189072,3.93088311710288,6.64644318853395,0.00993539658864746,0.271981481614224,"hsa-miR-582-3p"
"hsa-miR-873-3p",-0.775277766774129,9.33712823244101,6.42832396245058,0.0112314514321679,0.289375042781738,"hsa-miR-873-3p"
"hsa-miR-7-2-3p",-1.58940101926773,1.70199579727678,6.18373088522704,0.0128930140058527,0.31373000747575,"hsa-miR-7-2-3p"
"hsa-miR-1247-3p",-1.36208420213849,2.34149220063603,6.08439112868382,0.0136381361083769,0.314394927129952,"hsa-miR-1247-3p"
"hsa-miR-577",-1.29459408919488,2.4539505650007,5.97559240230853,0.014505208126241,0.316331035562141,"hsa-miR-577"
"hsa-miR-134-5p",-1.26328643202076,2.59297486859787,5.89701626232347,0.0151665564995547,0.316331035562141,"hsa-miR-134-5p"
"hsa-miR-1269b",1.02896458182977,3.44811578933609,5.67372558206997,0.0172208450421723,0.342851369475975,"hsa-miR-1269b"
"hsa-miR-339-5p",-1.04630078347112,3.19971370851825,5.202346501583,0.0225564190468407,0.429552675761575,"hsa-miR-339-5p"
"hsa-miR-3059-5p",-0.920884122331615,4.13401557457122,5.04462824057753,0.0247024074901938,0.450818936696037,"hsa-miR-3059-5p"
"hsa-miR-490-5p",-0.878366099517376,4.44486324615422,4.83588127178008,0.0278733913438595,0.488341816344418,"hsa-miR-490-5p"
"hsa-miR-489-3p",-0.939443588019495,3.56726981187411,4.70878820672321,0.0300087973914537,0.505532817594489,"hsa-miR-489-3p"
"hsa-miR-410-3p",-0.77211134591439,6.24878957455515,4.59931193580271,0.031984790523906,0.518864379610031,"hsa-miR-410-3p"
"hsa-miR-487b-3p",-0.962455413888232,2.94083956761527,4.0626171362452,0.043842500577952,0.685821973326534,"hsa-miR-487b-3p"
