"","logFC","logCPM","LR","PValue","FDR","transcript"
"tRF-33-3JVIJMRPFQRD03",1.44427109290631,7.97282269245972,5.11086274935049,0.023776493878319,0.107372293909865,"tRF-33-3JVIJMRPFQRD03"
"tRF-36-PSQP4PW3FJI0E7E",1.50842540596031,9.77981450056945,5.1015258477818,0.0239048063197857,0.107441601735446,"tRF-36-PSQP4PW3FJI0E7E"
"tRF-28-ZKXXI363U0W",-1.35089622354628,6.07372057681993,5.09752688433629,0.0239599816076698,0.107441601735446,"tRF-28-ZKXXI363U0W"
"tRF-41-DKNPNOYB7JXNXW83E",1.38837023375123,6.66062396980084,5.07505205675615,0.0242725432076464,0.108462623144658,"tRF-41-DKNPNOYB7JXNXW83E"
"tRF-50-58ZZJQJYSWRYVMMV5BU6",-1.41081047305027,7.22283161025583,5.06271326787706,0.0244459370363161,0.108856820670425,"tRF-50-58ZZJQJYSWRYVMMV5BU6"
"tRF-20-U4727OFI",-1.4102052063791,7.20124823048905,5.05366139319838,0.024573957761027,0.108978778622863,"tRF-20-U4727OFI"
"tRF-35-V6Z3M8ZLSSXUOL",1.39259733732956,6.86881518478013,5.0478502827255,0.0246565108914871,0.108978778622863,"tRF-35-V6Z3M8ZLSSXUOL"
"tRF-37-B2Y0FD2F37YF7D2",-1.41116316494092,7.28639161872905,5.04275415440995,0.0247291438189595,0.108978778622863,"tRF-37-B2Y0FD2F37YF7D2"
"tRF-35-R9JP9P9NH5SYNX",1.38757022711825,7.03005798409353,4.98539990872683,0.0255620761824545,0.112262313955934,"tRF-35-R9JP9P9NH5SYNX"
"tRF-29-86V8WPMN1EJ3",1.45724300241566,8.50914181008092,4.97837282441672,0.0256661126941795,0.112268357670697,"tRF-29-86V8WPMN1EJ3"
"tRF-18-D890YBDR",-1.39275798069801,6.69637312018192,4.97345747460539,0.0257391461639392,0.112268357670697,"tRF-18-D890YBDR"
"tRF-50-DFZ2NLD7B2JK7PP9ZZ05",-1.33503634759897,6.22310638812853,4.95773175918171,0.0259742563158351,0.112908501944344,"tRF-50-DFZ2NLD7B2JK7PP9ZZ05"
"tRF-31-34HWH3RXSINHE",1.30835090994979,6.19999479345968,4.94875416207625,0.0261094769210522,0.113039340944003,"tRF-31-34HWH3RXSINHE"
"tRF-50-B01XNYH2SBUL6JYBKRYN",-1.36318651470976,5.78446358778474,4.94400821051723,0.0261812558054967,0.113039340944003,"tRF-50-B01XNYH2SBUL6JYBKRYN"
"tRF-18-I363U0W",-1.39320908632008,7.50109358199674,4.89893754894438,0.026873224195545,0.115636298053557,"tRF-18-I363U0W"
"tRF-29-FRROWFUBNO0W",-1.37658030410001,6.78501192447489,4.88192435192245,0.0271393462409726,0.116389545288466,"tRF-29-FRROWFUBNO0W"
"tRF-35-K5I34JRX6N38Z9",1.37824701804282,7.4536261492793,4.86810683477317,0.0273574972443764,0.116932713974291,"tRF-35-K5I34JRX6N38Z9"
"tRF-32-PER8YP9LON4V3",1.37159809293287,7.28102310756244,4.85463669073179,0.0275719199075941,0.117456378806351,"tRF-32-PER8YP9LON4V3"
"tRF-34-R9JP9PMNH5SYHQ",1.38814635312498,7.78646551453337,4.83219048520415,0.0279331191557487,0.118299539112236,"tRF-34-R9JP9PMNH5SYHQ"
"tRF-50-OB1690PQR39IXBKJZ8R3",1.35308368316556,6.64751564548653,4.83084185595531,0.0279549771611074,0.118299539112236,"tRF-50-OB1690PQR39IXBKJZ8R3"
"tRF-31-N3R718YKISQID",1.49865927184496,10.7656260196464,4.81886351064762,0.0281498998614749,0.118553793977344,"tRF-31-N3R718YKISQID"
"tRF-31-J87383RPD9W1E",1.29165965523797,6.16215697187658,4.81576268272498,0.0282005894906985,0.118553793977344,"tRF-31-J87383RPD9W1E"
"tRF-38-EERZYQHQ9M739P0J",-1.40346469504126,7.96499080547472,4.80096763082773,0.0284437573330921,0.118619799650073,"tRF-38-EERZYQHQ9M739P0J"
"tRF-17-R81XDDQ",-1.35545353671156,6.59330122678293,4.80036769195988,0.0284536637022825,0.118619799650073,"tRF-17-R81XDDQ"
"tRF-22-NBDWY2MJ5",-1.34206959386338,5.79631062007738,4.79788235450359,0.0284947406045168,0.118619799650073,"tRF-22-NBDWY2MJ5"
"tRF-49-OB1690PQR39IXBKJZ8IY",1.29433083446528,6.36125776112413,4.75742388948448,0.0291721784337356,0.121045597526994,"tRF-49-OB1690PQR39IXBKJZ8IY"
"tRF-35-8BPE0IOB9ZFH69",-1.31730914728094,5.95206875106885,4.74225186482922,0.029430524373661,0.121609298903431,"tRF-35-8BPE0IOB9ZFH69"
"tRF-20-I363U0EZ",-1.36089647817352,6.86332963041202,4.73829201289029,0.0294983432394864,0.121609298903431,"tRF-20-I363U0EZ"
"tRF-34-389MV47P596VJ5",1.47075078695713,10.3760353357371,4.72996988282113,0.0296414043018571,0.12180615658448,"tRF-34-389MV47P596VJ5"
"tRF-44-0D58ZZJQJYSWRYVMH0",1.34056707146821,6.75015779639289,4.71754288632403,0.0298563768074127,0.122147963030645,"tRF-44-0D58ZZJQJYSWRYVMH0"
"tRF-32-08F4BDNZ8O6FJ",-1.36685714110292,7.58656792958892,4.71118625432304,0.0299669664817972,0.122147963030645,"tRF-32-08F4BDNZ8O6FJ"
"tRF-26-ROWFUBNOBZE",-1.35617480475191,6.88859301323511,4.70241034085773,0.030120347594423,0.122147963030645,"tRF-26-ROWFUBNOBZE"
"tRF-30-389MV47P596V",1.43320734301454,8.92352937356029,4.70086181899329,0.0301474967056384,0.122147963030645,"tRF-30-389MV47P596V"
"tRF-29-94SX73V2Y81W",1.43636735003622,9.37415306682661,4.69773073191145,0.0302024697321469,0.122147963030645,"tRF-29-94SX73V2Y81W"
"tRF-16-3JWB61B",-1.29219351310846,6.10790320034767,4.67121589889791,0.0306722049205054,0.123283086939543,"tRF-16-3JWB61B"
"tRF-36-86V8WPMN1E8Y7ZD",1.44760503148602,9.97954007372106,4.67099930591624,0.0306760732760365,0.123283086939543,"tRF-36-86V8WPMN1E8Y7ZD"
"tRF-35-86J8WPMN1E8Y7Z",1.56427681977946,13.4185597420366,4.66530712847339,0.0307779182456384,0.123304637987228,"tRF-35-86J8WPMN1E8Y7Z"
"tRF-19-D890YBHW",-1.43301100825224,9.43872266786139,4.65794553318201,0.0309101556642922,0.123447434184267,"tRF-19-D890YBHW"
"tRF-24-QO945NB2HQ",-1.3220591042651,5.73871561854635,4.63424638563996,0.0313399055519183,0.124487243131404,"tRF-24-QO945NB2HQ"
"tRF-31-DD1KYK37ZXK1B",-1.32180900569685,5.74523976244102,4.63285493282951,0.0313653304290392,0.124487243131404,"tRF-31-DD1KYK37ZXK1B"
"tRF-43-7Z8L8NRS9NS334L2DB",1.30207168055171,6.53253057431989,4.61304883414928,0.0317295731341405,0.125543016920841,"tRF-43-7Z8L8NRS9NS334L2DB"
"tRF-29-DFQ9B1XSRIJ2",-1.2832503544614,6.02969260695002,4.58189016261425,0.0323115539643745,0.127088776003887,"tRF-29-DFQ9B1XSRIJ2"
"tRF-34-LBINRXURYRSIE2",-1.33161819411604,6.73941384011336,4.58113081735543,0.0323258752712436,0.127088776003887,"tRF-34-LBINRXURYRSIE2"
"tRF-33-V29K9UV36562DE",1.35067779709437,7.80948762089531,4.57250594566763,0.0324890068040968,0.127088776003887,"tRF-33-V29K9UV36562DE"
"tRF-33-389MV47P596V03",1.53516616521378,12.779221532283,4.56840634307707,0.0325668481309739,0.127088776003887,"tRF-33-389MV47P596V03"
"tRF-35-202L2YBE7XO8Q6",-1.28249639691406,5.99641013651253,4.5564684045507,0.0327946311152125,0.127088776003887,"tRF-35-202L2YBE7XO8Q6"
"tRF-19-I363U0EQ",-1.28510998399276,5.8580927202423,4.5559211002163,0.0328051138040847,0.127088776003887,"tRF-19-I363U0EQ"
"tRF-50-86V8WPMN1E8Y7Z2R14PS",1.32436869290119,7.07059371744433,4.55533462589083,0.0328163506113324,0.127088776003887,"tRF-50-86V8WPMN1E8Y7Z2R14PS"
