"","SRR19241977","SRR19241978","SRR19241979","SRR19241980","SRR19241981","SRR19241982","SRR19241983","SRR19241984"
"tRF-16-88481DD",0,0,0,0,2,5,1,2
"tRF-16-884U1DD",29,31,32,29,79,140,73,80
"tRF-16-8871K9D",29,65,29,44,81,80,40,42
"tRF-16-88I26W0",4,0,2,0,0,0,2,2
"tRF-16-8B8SOU0",0,1,0,0,0,0,0,0
"tRF-16-8HM2OS0",2,0,1,0,0,0,0,0
"tRF-16-8K587SB",0,0,0,0,0,0,1,1
"tRF-16-8NWE6W0",1,0,0,0,0,0,0,0
"tRF-16-8P4U1DD",0,0,0,0,0,1,0,0
"tRF-16-8P7SERE",1,0,0,0,0,0,0,0
"tRF-16-8PLML3E",0,1,0,0,0,0,0,2
"tRF-16-8Q9VZVB",0,1,0,0,0,0,0,0
"tRF-16-8R6546D",2,3,3,1,2,5,0,1
"tRF-16-8RPY8HD",0,0,0,0,0,1,0,0
"tRF-16-8RQFR90",1,0,0,0,0,0,0,0
"tRF-16-8S68L5D",9,16,2,5,16,8,6,7
"tRF-16-8SPOF5D",0,0,0,0,0,1,0,0
"tRF-16-8SPOL5D",3,3,5,3,5,4,2,6
"tRF-16-8WQ0D5D",0,1,0,2,4,0,4,2
"tRF-16-8Y19O1E",0,0,1,0,0,0,0,0
"tRF-16-8Y3DUVD",3,5,6,5,8,5,3,6
"tRF-16-8Z1MQ8E",0,2,0,0,0,1,0,0
"tRF-16-945NB2D",3,4,0,1,6,4,5,6
"tRF-16-94V4SMB",0,0,0,0,0,0,0,1
"tRF-16-96L85DE",15,15,18,7,37,26,9,16
"tRF-16-98YKIS0",0,0,1,0,0,0,0,0
"tRF-16-99DMEM0",1,0,0,0,0,0,0,0
"tRF-16-9EDJSYB",6,2,7,2,0,2,1,2
"tRF-16-9H93WBE",0,0,0,1,0,1,0,0
"tRF-16-9KR959D",1,0,0,1,0,0,3,0
"tRF-16-9L5HJVE",0,0,0,0,0,0,0,1
"tRF-16-9L5HMVE",3,1,1,1,1,2,0,0
"tRF-16-9LQHWUD",0,0,0,1,0,0,0,0
"tRF-16-9MH57SD",0,0,0,1,0,1,0,0
"tRF-16-9N1EWJ0",32,45,23,21,36,43,21,34
"tRF-16-9N1QKSD",5,2,5,2,7,5,1,1
"tRF-16-9NF5W80",2,1,0,0,1,0,0,0
"tRF-16-9NH5SYD",1,0,3,0,3,4,2,3
"tRF-16-9NLM3KE",1,0,1,0,0,0,0,0
"tRF-16-9NS334D",2,12,1,6,10,10,11,13
"tRF-16-9Q53K80",0,0,1,0,0,1,1,1
"tRF-16-9Q5JK80",2,3,2,0,2,2,0,1
"tRF-16-9RQ4R90",0,0,0,0,1,0,0,0
"tRF-16-B4ZPEKD",0,1,0,0,0,2,0,0
"tRF-16-B6R3LU0",0,0,0,0,0,0,1,0
"tRF-16-BE7XO80",0,1,0,0,1,0,1,1
"tRF-16-BK87R90",0,0,0,1,0,0,1,0
"tRF-16-BKZ4R90",0,0,0,0,0,0,0,1
"tRF-16-BM32LJD",0,1,0,0,1,1,0,0
"tRF-16-BMW36DD",0,0,0,1,0,0,0,0
"tRF-16-BMW3RDD",0,1,0,0,0,1,0,0
"tRF-16-BP1IUUD",0,0,0,0,1,0,0,0
"tRF-16-BS5EOBD",1,1,0,2,1,6,2,3
"tRF-16-BS68BFD",12,10,9,11,24,18,10,10
"tRF-16-BS6PBFD",1,0,0,0,0,0,0,0
"tRF-16-BY68BFD",0,0,0,0,0,0,1,0
"tRF-16-D3KS7SB",0,0,0,0,1,0,0,0
"tRF-16-D6MSRMB",1,0,0,0,0,0,0,0
"tRF-16-D7M461D",0,0,1,0,0,0,1,0
"tRF-16-D7M461E",0,0,0,1,0,0,1,1
"tRF-16-D7M4O1E",4,0,2,0,3,4,1,0
"tRF-16-D81H93E",0,2,3,1,1,2,2,1
"tRF-16-DF7UK80",1,0,3,0,1,0,0,1
"tRF-16-DJQV760",0,0,0,0,1,0,0,0
"tRF-16-DJXW7SB",0,0,0,0,0,0,1,0
"tRF-16-DNN34SE",0,0,0,1,0,0,0,0
"tRF-16-DPUSYDE",0,0,0,0,1,0,0,1
"tRF-16-DR2SN1B",1,0,0,0,0,0,0,0
"tRF-16-DR3J09D",0,2,0,0,0,0,0,1
"tRF-16-DRJRWM0",1,0,0,0,0,0,0,0
"tRF-16-DRXSE50",0,1,0,0,0,0,0,0
"tRF-16-DWY2MJE",1,9,1,5,5,12,4,13
"tRF-16-E0PRRND",0,0,0,0,0,1,0,1
"tRF-16-E8Q2B5D",0,1,2,0,0,3,0,1
"tRF-16-EH623K0",1,1,0,1,0,1,2,1
"tRF-16-EHBK8R0",0,0,0,0,0,0,0,1
"tRF-16-EO7N980",0,1,1,0,7,0,1,2
"tRF-16-EY0VWUD",7,7,2,2,11,4,9,11
