"","SRR5256874_5","SRR5256876","SRR5256877_8","SRR5256879","SRR5256880_1","SRR5256882_3"
"tRF-16-9Q53K80",1,0,0,0,0,0
"tRF-16-9Q5JK80",0,0,0,1,0,0
"tRF-16-9RQ4R90",0,0,0,0,0,1
"tRF-16-B4ZPEKD",0,0,0,0,1,0
"tRF-16-BK87R90",0,0,4,0,0,0
"tRF-16-BK8RR90",0,0,3,0,0,0
"tRF-16-BKZ3R90",0,0,5,1,0,0
"tRF-16-BM32LJD",0,0,16,3,0,1
"tRF-16-BMWIRJD",1,0,0,0,0,0
"tRF-16-BP1IUUD",0,0,0,2,0,1
"tRF-16-BS5EOBD",1,0,0,0,0,0
"tRF-16-BS68BFD",119,47,84,94,39,10
"tRF-16-D7M461E",2,0,6,0,1,1
"tRF-16-D7M4O1E",1,0,0,0,0,0
"tRF-16-D8E0LVE",0,0,4,0,0,3
"tRF-16-DJQV760",0,0,0,2,0,0
"tRF-16-DR2SN1B",0,0,0,3,0,0
"tRF-16-DRFU8U0",0,0,8,0,0,0
"tRF-16-DWY2MJE",1,0,18,1,0,2
"tRF-16-E0LV9DE",0,0,2,0,0,0
"tRF-16-E7QN7JD",1,2,0,0,1,0
"tRF-16-EHBK870",0,1,0,0,0,0
"tRF-16-EY0VWUD",30,13,51,4,4,2
"tRF-16-F0IR1ND",1,0,0,0,0,0
"tRF-16-F0QV7ND",2,0,2,1,0,0
"tRF-16-F36VF8B",0,0,2,0,0,0
"tRF-16-FK8SR9B",0,0,5,0,0,0
"tRF-16-FKWE6M0",3,1,13,1,2,1
"tRF-16-FKWE6ME",2,0,0,0,0,0
"tRF-16-FP18LPD",1,0,0,0,0,0
"tRF-16-FPZD3KE",2,1,0,0,0,0
"tRF-16-FSXMSL0",2,0,0,1,0,0
"tRF-16-H48V7KE",1,0,0,0,0,0
"tRF-16-H5SYNXD",2,1,0,1,0,1
"tRF-16-H7PU4HD",0,0,3,0,1,0
"tRF-16-H9R8B7D",0,2,20,3,0,1
"tRF-16-HDPORSD",0,0,1,0,0,0
