"","logFC","logCPM","LR","PValue","FDR","transcript"
"tRF-40-8L8NRS9NS334L2H1",-2.84113955481244,8.18774737926057,12.4601282721267,0.00041573139452502,0.32219183075689,"tRF-40-8L8NRS9NS334L2H1"
"tRF-39-RZYQHQ9M739P8WIL",-2.36424384043075,8.08705620761952,9.12108918149043,0.0025267947521924,0.865056093852054,"tRF-39-RZYQHQ9M739P8WIL"
"tRF-38-8L8NRS9NS334L2DB",-2.26898271440426,8.41964078570209,8.32928244078212,0.0039011064023695,0.865056093852054,"tRF-38-8L8NRS9NS334L2DB"
"tRF-40-JQJYSWRYVMMV5BU6",-2.1613516566878,8.04791033112369,7.80143788632605,0.00522046756272639,0.865056093852054,"tRF-40-JQJYSWRYVMMV5BU6"
"tRF-40-ZZJQJYSWRYVMMV5B",-2.0014031475745,7.82248887083917,6.80931990462904,0.00906832965812905,0.865056093852054,"tRF-40-ZZJQJYSWRYVMMV5B"
"tRF-37-WU1M70YU890HRFJ",-1.98509338656986,6.75079276504351,6.52138231374322,0.0106585128829623,0.865056093852054,"tRF-37-WU1M70YU890HRFJ"
"tRF-41-8L8NRS9NS334L2H1B",-2.00083420789174,9.74990642457541,6.3255609680543,0.0119009835030692,0.865056093852054,"tRF-41-8L8NRS9NS334L2H1B"
"tRF-24-RNLNK88KHR",-1.89373707091768,7.16319436048527,6.29288475994154,0.0121223593180588,0.865056093852054,"tRF-24-RNLNK88KHR"
"tRF-17-EY0VWUJ",-1.89128651201557,7.92511153048816,6.11108923365668,0.0134336314852336,0.865056093852054,"tRF-17-EY0VWUJ"
"tRF-42-YQHQ9M739P8WQ0D52",-1.85321213526804,7.45894474850869,6.06204126928044,0.0138117948048701,0.865056093852054,"tRF-42-YQHQ9M739P8WQ0D52"
"tRF-36-V29K9UV36562IZ0",-1.87874675092255,12.9992417784736,6.0423140186613,0.0139669654635616,0.865056093852054,"tRF-36-V29K9UV36562IZ0"
"tRF-43-RZYQHQ9M739P8WQ07",-1.88058775403296,11.2389885021516,5.8763824714529,0.0153453185729343,0.865056093852054,"tRF-43-RZYQHQ9M739P8WQ07"
"tRF-41-7Z8L8NRS9NS334L2B",-1.8532179537975,8.19794632359971,5.85392501422992,0.0155423485251895,0.865056093852054,"tRF-41-7Z8L8NRS9NS334L2B"
"tRF-39-YQHQ9M739P8WQ0EB",-1.78935369759181,7.2117762515108,5.84438667337788,0.0156268197599081,0.865056093852054,"tRF-39-YQHQ9M739P8WQ0EB"
"tRF-37-RZYQHQ9M739P8WM",-1.78611847781931,7.98964405001319,5.57180329113509,0.0182519542929146,0.899746416281602,"tRF-37-RZYQHQ9M739P8WM"
"tRF-46-RZYQHQ9M739P8WQ0D5D",-1.75246862930449,7.53173817174043,5.4369135644147,0.019715477827037,0.899746416281602,"tRF-46-RZYQHQ9M739P8WQ0D5D"
"tRF-32-Q99P9P9NH57SJ",-1.8275141272592,10.285709984021,5.43506350741839,0.0197363730023061,0.899746416281602,"tRF-32-Q99P9P9NH57SJ"
"tRF-32-MIF91SS2P4FI3",-1.67630159829476,7.48097208805657,4.95181869408136,0.0260632368930847,0.922719887865796,"tRF-32-MIF91SS2P4FI3"
"tRF-33-2QR7F8YKIR9N05",-1.61735135166814,7.07013335809008,4.77364090147026,0.0288986485220185,0.922719887865796,"tRF-33-2QR7F8YKIR9N05"
"tRF-35-34HWH3RXSINHZ4",-1.62023437994678,7.38800872840766,4.76031389355972,0.0291232364622339,0.922719887865796,"tRF-35-34HWH3RXSINHZ4"
"tRF-40-RZYQHQ9M739P8WQ0",-1.70576473072022,9.9106965182402,4.71357021898081,0.029925441455571,0.922719887865796,"tRF-40-RZYQHQ9M739P8WQ0"
"tRF-38-YQHQ9M739P8WQ07",-1.59445007055239,7.34994854101476,4.69832978698998,0.0301919439443795,0.922719887865796,"tRF-38-YQHQ9M739P8WQ07"
"tRF-42-RZYQHQ9M739P8WQ0F",-1.62524566695949,14.733468969989,4.68025358540502,0.0305112441339951,0.922719887865796,"tRF-42-RZYQHQ9M739P8WQ0F"
"tRF-36-JQJYSWRYVMMV5BE",-1.61724318647598,7.90991909861207,4.63180794738787,0.0313844753206718,0.922719887865796,"tRF-36-JQJYSWRYVMMV5BE"
"tRF-28-KL9MVH7P59DP",1.63500158332129,8.46502066034705,4.60105922449111,0.0319522091442718,0.922719887865796,"tRF-28-KL9MVH7P59DP"
"tRF-38-RZYQHQ9M739P8WD8",-1.63274407668864,8.51303127534605,4.52150579101299,0.0334713600223985,0.922719887865796,"tRF-38-RZYQHQ9M739P8WD8"
"tRF-44-RZYQHQ9M739P8WQ0EB",-1.61824530343754,11.2985075330746,4.42984135767892,0.0353157903005815,0.922719887865796,"tRF-44-RZYQHQ9M739P8WQ0EB"
"tRF-45-I3Z9HMI8W47W1R7HFE",-1.60548861363291,6.59635934329712,4.36960059718698,0.0365855662497011,0.922719887865796,"tRF-45-I3Z9HMI8W47W1R7HFE"
"tRF-36-L85DMKYUYRLHR0D",-1.59990698267099,8.59644203926239,4.32145510366534,0.0376347270003978,0.922719887865796,"tRF-36-L85DMKYUYRLHR0D"
"tRF-17-BZOS4Y1",-1.54636979843273,7.21566968332345,4.31810921401293,0.0377088003632043,0.922719887865796,"tRF-17-BZOS4Y1"
"tRF-37-8L8NRS9NS334L2I",-1.60952762536874,9.21962989587066,4.25853725470081,0.0390535356334114,0.922719887865796,"tRF-37-8L8NRS9NS334L2I"
"tRF-37-WU1M70YUP90HRFJ",-1.52014063238113,7.11762561289846,4.25363893503866,0.0391663213947608,0.922719887865796,"tRF-37-WU1M70YUP90HRFJ"
"tRF-35-Q1Q89P9L8422YR",-1.50683771825193,7.1121036871045,4.207316199722,0.0402499711965705,0.922719887865796,"tRF-35-Q1Q89P9L8422YR"
"tRF-39-Z9HMI8W47W1R7HE6",-1.56635911855463,8.47857864926934,4.19762589751092,0.0404806144354027,0.922719887865796,"tRF-39-Z9HMI8W47W1R7HE6"
"tRF-39-HMI8W47W1R7HFEE2",-1.56132454638929,10.4905204589536,4.05548413061486,0.0440280925291957,0.941979681944913,"tRF-39-HMI8W47W1R7HFEE2"
"tRF-21-NONU3INDD",-1.56248862016134,6.55306560639189,4.02557512761374,0.0448153373042736,0.941979681944913,"tRF-21-NONU3INDD"
"tRF-34-79MP9PMNH5IS15",-1.47694305068421,7.15530733570678,4.0196917187413,0.0449719332025313,0.941979681944913,"tRF-34-79MP9PMNH5IS15"
"tRF-37-EH623K7SIR3DR2M",-1.48427057492282,8.09620807285387,3.87208313438759,0.0490955498665748,0.99908797644852,"tRF-37-EH623K7SIR3DR2M"
"tRF-33-79MP9PMNH5ISD3",-1.51625160271266,10.2829962222743,3.81508707434486,0.0507929650283196,0.99908797644852,"tRF-33-79MP9PMNH5ISD3"
"tRF-40-DBNIB9I1KQSX0DIJ",-1.52955983662197,6.34556667871533,3.70020498112259,0.0544057837827779,0.99908797644852,"tRF-40-DBNIB9I1KQSX0DIJ"
"tRF-23-7OFIZ9WUD2",1.4579553305724,8.89338849102798,3.61916955882282,0.0571173772615937,0.99908797644852,"tRF-23-7OFIZ9WUD2"
"tRF-35-KY7343RX6NMH49",-1.44303885227701,6.61803689780672,3.56785731126959,0.058908276893145,0.99908797644852,"tRF-35-KY7343RX6NMH49"
"tRF-38-Z6V6Z3M8ZLSSXUD6",-1.45078159236286,8.80920844721605,3.55815385093501,0.0592536053625302,0.99908797644852,"tRF-38-Z6V6Z3M8ZLSSXUD6"
"tRF-24-RNLIK898HR",-1.52841543596729,6.14155792922506,3.47031454805145,0.0624794287404162,0.99908797644852,"tRF-24-RNLIK898HR"
"tRF-33-Q99P9P9NH57SD3",-1.38406329957353,15.679543428006,3.45750775048987,0.0629651530566402,0.99908797644852,"tRF-33-Q99P9P9NH57SD3"
"tRF-24-83ML5F82HQ",1.36510367714691,7.50431102103934,3.41262975758298,0.0646992637033975,0.99908797644852,"tRF-24-83ML5F82HQ"
"tRF-36-HMI8W47W1R7HFEB",-1.36910346840964,7.97782070320737,3.38886154504561,0.0656382552850888,0.99908797644852,"tRF-36-HMI8W47W1R7HFEB"
"tRF-40-22EVUIJVK697BOJ8",-1.34229313492781,7.10562697675349,3.38795053193787,0.0656745341718876,0.99908797644852,"tRF-40-22EVUIJVK697BOJ8"
"tRF-35-Q99P9P9NH57S36",-1.35176149305503,7.79300084918865,3.2797995183899,0.0701374960740752,0.99908797644852,"tRF-35-Q99P9P9NH57S36"
"tRF-32-79MP9PMNH5ISJ",-1.33997223805651,7.54979086190739,3.27965737846023,0.0701435707516952,0.99908797644852,"tRF-32-79MP9PMNH5ISJ"
"tRF-21-WE884U1DD",1.35917399903434,6.5401178005013,3.23061012221205,0.0722737576157374,0.99908797644852,"tRF-21-WE884U1DD"
"tRF-32-79MP9P9MH57SJ",-1.38762048525114,10.2414145260993,3.21559030493083,0.072939877565574,0.99908797644852,"tRF-32-79MP9P9MH57SJ"
