"","logFC","logCPM","LR","PValue","FDR","transcript"
"hsa-miR-374a-5p",-0.617119994133317,10.5334590496705,4.35041312971573,0.0369999697044609,0.141856238988354,"hsa-miR-374a-5p"
"hsa-let-7e-5p",-0.610457464001379,9.49800541341223,4.332968759053,0.0373809933599937,0.141856238988354,"hsa-let-7e-5p"
"hsa-miR-505-3p",-0.611794985178235,10.0862818145254,4.30928643492781,0.0379048579272783,0.141856238988354,"hsa-miR-505-3p"
"hsa-miR-106b-5p",0.663487147578376,8.02312348308771,4.30397859405109,0.0380233217906929,0.141856238988354,"hsa-miR-106b-5p"
"hsa-miR-766-3p",-0.721366818338716,7.22754412183997,4.21401228020686,0.0400914009738584,0.148147272170067,"hsa-miR-766-3p"
"hsa-miR-27b-5p",-0.821444149020076,4.69336698565684,4.1446731214844,0.0417657184107186,0.152878290031687,"hsa-miR-27b-5p"
"hsa-miR-128-3p",-0.595757436679089,14.7379560323909,4.07228773305906,0.0435921971857469,0.156594489745577,"hsa-miR-128-3p"
"hsa-miR-3065-5p",-0.782856743514757,5.11004245741647,4.06358084770212,0.0438174891977898,0.156594489745577,"hsa-miR-3065-5p"
"hsa-miR-328-3p",-0.595853363844249,10.5172329028084,4.05687838024863,0.0439917509852266,0.156594489745577,"hsa-miR-328-3p"
"hsa-miR-543",0.759457662026282,6.17953542583664,4.04092853189939,0.0444093809281934,0.156643998183082,"hsa-miR-543"
"hsa-miR-200c-3p",-0.825662732040969,4.52409116810156,4.01409804191194,0.0451213518504177,0.157085553904762,"hsa-miR-200c-3p"
"hsa-miR-2110",-0.795568227092406,4.90083934662911,4.00578847167694,0.0453442836013747,0.157085553904762,"hsa-miR-2110"
"hsa-miR-505-5p",-0.691702230916643,7.35957235658311,3.98788370885658,0.0458285908708724,0.157358347415031,"hsa-miR-505-5p"
"hsa-miR-193b-3p",0.735080561795477,6.49794143526563,3.94344128206186,0.0470544270451643,0.159828878826998,"hsa-miR-193b-3p"
