"","X.miRNA","precursor","SRR5256874_5","SRR5256876","SRR5256877_8","SRR5256879","SRR5256880_1","SRR5256882_3"
"2347","hsa-miR-6746-5p","hsa-mir-6746","0","0","10","1","1","0"
"2348","hsa-miR-6746-3p","hsa-mir-6746","2","0","0","2","0","0"
"2349","hsa-miR-6747-5p","hsa-mir-6747","1","0","0","0","0","0"
"2350","hsa-miR-6747-3p","hsa-mir-6747","0","0","8","0","0","0"
"2351","hsa-miR-6748-5p","hsa-mir-6748","0","0","0","0","1","0"
"2352","hsa-miR-6748-3p","hsa-mir-6748","0","0","0","0","0","0"
"2353","hsa-miR-6749-5p","hsa-mir-6749","0","0","0","0","0","0"
"2354","hsa-miR-6749-3p","hsa-mir-6749","4","0","0","0","0","0"
"2355","hsa-miR-675-5p","hsa-mir-675","0","2","2","1","0","0"
"2356","hsa-miR-675-3p","hsa-mir-675","5","4","33","11","4","1"
"2357","hsa-miR-6750-5p","hsa-mir-6750","0","0","0","0","0","0"
"2358","hsa-miR-6750-3p","hsa-mir-6750","0","0","6","0","0","0"
"2359","hsa-miR-6751-5p","hsa-mir-6751","1","0","0","0","3","1"
"2360","hsa-miR-6751-3p","hsa-mir-6751","0","0","0","0","0","0"
"2361","hsa-miR-6752-5p","hsa-mir-6752","0","0","0","0","0","0"
"2362","hsa-miR-6752-3p","hsa-mir-6752","0","0","0","0","0","0"
"2363","hsa-miR-6753-5p","hsa-mir-6753","0","0","0","0","0","0"
"2364","hsa-miR-6753-3p","hsa-mir-6753","0","0","0","0","0","0"
"2365","hsa-miR-6754-5p","hsa-mir-6754","0","0","0","0","0","0"
"2366","hsa-miR-6754-3p","hsa-mir-6754","0","0","0","0","0","0"
"2367","hsa-miR-6755-5p","hsa-mir-6755","4","0","8","0","0","1"
"2368","hsa-miR-6755-3p","hsa-mir-6755","0","0","0","0","0","0"
"2369","hsa-miR-6756-5p","hsa-mir-6756","0","0","0","0","0","2"
"2370","hsa-miR-6756-3p","hsa-mir-6756","0","0","0","0","0","0"
"2371","hsa-miR-6757-5p","hsa-mir-6757","0","0","0","0","0","0"
"2372","hsa-miR-6757-3p","hsa-mir-6757","0","0","0","0","0","0"
"2373","hsa-miR-6758-5p","hsa-mir-6758","0","0","18","0","0","0"
"2374","hsa-miR-6758-3p","hsa-mir-6758","0","0","0","2","1","0"
"2375","hsa-miR-6759-5p","hsa-mir-6759","0","1","0","2","3","0"
"2376","hsa-miR-6759-3p","hsa-mir-6759","0","0","0","0","0","0"
"2377","hsa-miR-676-5p","hsa-mir-676","1","0","0","0","0","0"
"2378","hsa-miR-676-3p","hsa-mir-676","6","1","4","3","4","1"
"2379","hsa-miR-6760-5p","hsa-mir-6760","1","0","0","0","0","0"
"2380","hsa-miR-6760-3p","hsa-mir-6760","0","0","0","2","1","0"
"2381","hsa-miR-6761-5p","hsa-mir-6761","6","2","15","9","5","2"
"2382","hsa-miR-6761-3p","hsa-mir-6761","0","0","0","0","0","0"
"2383","hsa-miR-6762-5p","hsa-mir-6762","0","0","0","0","0","0"
