"","SRR19241977","SRR19241978","SRR19241979","SRR19241980","SRR19241981","SRR19241982","SRR19241983","SRR19241984"
"tRF-16-73FJQ4D",9.12,0,3.51,6.43,0,4.46,0,3.89
"tRF-16-73IEWSD",0,0,0,0,0,0,0,3.89
"tRF-16-74113KE",0,0,0,6.43,0,0,0,0
"tRF-16-76HRMFD",0,0,0,0,0,0,0,3.89
"tRF-16-79MP9PD",3.04,5.12,3.51,6.43,0,17.82,0,0
"tRF-16-7E14PH0",0,0,3.51,0,0,0,0,0
"tRF-16-7JLJR7B",0,0,0,0,0,0,4.57,0
"tRF-16-7JV2Y8E",3.04,25.62,7.02,12.85,13.25,22.28,0,19.46
"tRF-16-7P596VE",9.12,10.25,7.02,6.43,8.83,26.74,13.7,7.79
"tRF-16-7PU9XWE",15.21,5.12,14.04,0,17.67,17.82,4.57,11.68
"tRF-16-7SB1RH0",6.08,0,0,0,0,0,0,0
"tRF-16-7SBRX90",0,0,0,6.43,0,0,0,0
"tRF-16-7SDR2SD",3.04,0,0,0,0,0,0,0
"tRF-16-7SERM4E",0,0,3.51,0,0,0,0,0
"tRF-16-7SHRMFE",0,0,0,0,0,4.46,0,0
"tRF-16-7SHRRNE",0,0,0,0,4.42,0,0,0
"tRF-16-7SIR3D0",0,0,3.51,0,0,0,0,0
"tRF-16-7Z2R1H0",0,0,0,0,0,0,0,3.89
"tRF-16-86S2P9D",0,0,0,0,0,0,0,3.89
"tRF-16-88481DD",0,0,0,0,8.83,22.28,4.57,7.79
"tRF-16-884U1DD",88.2,158.87,112.31,186.4,348.89,623.87,333.4,311.4
"tRF-16-8871K9D",88.2,333.12,101.78,282.81,357.72,356.5,182.69,163.49
"tRF-16-88I26W0",12.17,0,7.02,0,0,0,9.13,7.79
"tRF-16-8B8SOU0",0,5.12,0,0,0,0,0,0
"tRF-16-8HM2OS0",6.08,0,3.51,0,0,0,0,0
"tRF-16-8K587SB",0,0,0,0,0,0,4.57,3.89
"tRF-16-8NWE6W0",3.04,0,0,0,0,0,0,0
"tRF-16-8P4U1DD",0,0,0,0,0,4.46,0,0
"tRF-16-8P7SERE",3.04,0,0,0,0,0,0,0
"tRF-16-8PLML3E",0,5.12,0,0,0,0,0,7.79
"tRF-16-8Q9VZVB",0,5.12,0,0,0,0,0,0
"tRF-16-8R6546D",6.08,15.37,10.53,6.43,8.83,22.28,0,3.89
"tRF-16-8RPY8HD",0,0,0,0,0,4.46,0,0
"tRF-16-8RQFR90",3.04,0,0,0,0,0,0,0
